entry_id,meeting_date,body,topic,topic_other_label,attempt_type,deliberation,what_was_tried,outcome,evidence_quote,minutes_section,confidence
select_board_2022-06-30_seq-003,2022-06-30,select_board,structural_deficit_reserves,,vote,routine,"FY22 year-end appropriation transfers totaling $260,095 across multiple departments to resolve line-item shortfalls prior to fiscal year close, using Health Insurance Transfer and Heavy Equipment Operation accounts as the primary sources.","Approved unanimously, subject to Finance Committee concurrence.","Motion made and seconded, in accordance with MGL Chapter 44 Section 33B, the Board of Selectmen authorizes the transfer of funds from the FY22 appropriation line items listed below titled Transfer From to the FY22 appropriation line items listed below titled Transfer To, as submitted by the Town’s Interim Finance Director.",FY22 Year End Appropriation Transfers (overall),medium
select_board_2022-05-25_seq-001,2022-05-25,select_board,healthcare_gic,,vote,routine,"Transferred $156,000 from the Health Insurance TSF (Finance) to EMT Stipend (Fire) as a year-end transfer under MGL Chap 44 Sec 33B.",Approved unanimously.,"Motion made and seconded, in accordance with MGL Chap 44 Sec 33B, to transfer $156,000.00 from Health Insurance TSF, Finance #01-221-139-5176, to EMT Stipend, Fire #01-068-220-5153.",Year End Transfers,medium
select_board_2022-05-25_seq-002,2022-05-25,select_board,structural_deficit_reserves,,vote,routine,"Authorized a Reserve Fund transfer of $117,000 for Other Insurance, as previously approved by the Finance Committee, pursuant to MGL Chapter 40, Section 6.",Approved unanimously.,"Motion made and seconded to authorize the transfer of the sum of $117,000.00 from the Reserve Fund in accordance with chapter 40, section 6 of the Massachusetts General Laws as previously approved by the Finance Committee.",Reserve Fund Transfer. Other Insurance,medium
select_board_2022-05-25_seq-003,2022-05-25,select_board,revenue_diversification,,vote,discussed,"Approved the use of federal ARPA funds totaling $140,611 across four projects: Tourist Booth ($54,000), Rail Trail project grant match ($28,000), Construction Management for Rail Trail ($8,000), and Hybrid Technology ($50,611), following ARPA Working Group evaluation.",Approved unanimously.,"Motion made and seconded to formally approve the use of federal ARPA Funds for the following purposes and amounts: Tourist Booth Project, $54,000.00; Rail Trail project grant, Match, $28,000.00; Construction Management for Rail Trail Project, $8,000.00; Hybrid Technology, $50,611.00 for a Total amount of $140,611.00.",American Rescue Plan Act (ARPA). Projects,medium
select_board_2022-05-25_seq-004,2022-05-25,select_board,regionalization_shared,,vote,discussed,"Authorized the Chair to sign a Memorandum of Understanding between the Town and the Marblehead Water & Sewer Commission, and appointed the Water & Sewer Superintendent as DPW Director with a $30,000 stipend, effectively consolidating leadership of DPW and Water & Sewer under one director.",Both motions approved unanimously.,"Motion made and seconded to authorize the Chair to sign the Memorandum of Understanding between the Town and the Marblehead Water & Sewer Commission on behalf of the Board. Moved by Mr. Nye, seconded by Mr. Grader. All in favor.",Memorandum of Understanding / Appointment DPW Director,medium
select_board_2022-05-25_seq-005,2022-05-25,select_board,staffing_fte_bargaining,,vote,discussed,Approved the employment contract between the Town and Thatcher Kezer as Town Administrator.,Approved unanimously.,"Motion made and seconded to approve the employment contract, as presented, between the Town and Thatcher Kezer, Town Administrator.",Contract. Town Administrator,low
select_board_2022-04-27_seq-001,2022-04-27,select_board,staffing_fte_bargaining,,vote,discussed,"Approved a three-year collective bargaining agreement between the Town and the International Association of Firefighters, AFL-CIO, CLC, Local 2043 for the period July 1, 2022 – June 30, 2025, following an executive session on bargaining strategy.",Approved unanimously on a polled vote.,"Motion made and seconded to approve the Contract between the Town of Marblehead and the International Association of Firefighters, AFL-CIO, CLC, Local 2043, for the period July 1, 2022 – June 30, 2025 as prepared by Assistant Town Counsel Marc J. Miller.","Marblehead AFL-CIO, CLC, Local 2043",high
select_board_2022-03-30_seq-001,2022-03-30,select_board,capital_facilities_debt,,study,discussed,"Environmental Partners and the Public Works Director presented a Pavement Management Program to plan pavement maintenance across the roadway network using a 3-step asset management approach including network inventory, analysis, and capital planning; funding for the program was to be discussed later with warrant articles.",Presentation received; funding to be taken up during warrant article review.,"Conrad Leger, Environmental Partners and Robert Dever, Public Works Director, appeared before the Board to present a Pavement Management Program to the Town. Pavement Management is the practice of planning pavement maintenance to maximize the value of the roadway network. The Interim Town Administrator advised the Board that they will be discussing funding for this program later in their meeting when they review the warrant articles.",Pavement Management Program. Presentation.,high
select_board_2022-03-30_seq-002,2022-03-30,select_board,capital_facilities_debt,,warrant_article,routine,"Support Article 11 Capital Improvements for Public Buildings in the amount of $1,624,619.00.",Approved 5-0.,"Motion made and seconded to support Article 11 Capital Improvements for Public Buildings in the amount of $1,624,619.00.",2022 Annual Town Meeting. Warrant Articles. Article 11 Public Buildings,high
select_board_2022-03-30_seq-003,2022-03-30,select_board,capital_facilities_debt,,warrant_article,routine,"Support Article 11 Capital Improvements for Public Buildings, Technology Improvements in the amount of $1,717,000.00.",Approved 5-0.,"Motion made and seconded to support Article 11 Capital Improvements for Public Buildings, Technology Improvements in the amount of $1,717,000.00.",2022 Annual Town Meeting. Warrant Articles. Article 11 Technology,high
select_board_2022-03-30_seq-004,2022-03-30,select_board,capital_facilities_debt,,warrant_article,routine,"Support Article 11 Capital Improvements for Public Buildings, Roof Replacements in the amount of $8,977,298.00.",Approved 5-0.,"Motion made and seconded to support Article 11 Capital Improvements for Public Buildings, Roof Replacements in the amount of $8,977,298.00.",2022 Annual Town Meeting. Warrant Articles. Article 11 Roof Replacements,high
select_board_2022-03-30_seq-005,2022-03-30,select_board,capital_facilities_debt,,warrant_article,routine,"Support Article 11 Capital Improvements for Road and Sidewalk Improvements in the amount of $12,475,000.00.",Approved 5-0.,"Motion made and seconded to support Article 11 Capital Improvements for Road and Sidewalk Improvements in the amount of $12,475,000.00.",2022 Annual Town Meeting. Warrant Articles. Article 11 Roads/Sidewalks,high
select_board_2022-03-30_seq-006,2022-03-30,select_board,capital_facilities_debt,,warrant_article,routine,"Support Article 10 Lease Purchase in the amount of $396,155.56.",Approved 5-0.,"Motion made and seconded to support Article 10 Lease Purchase in the amount of $396,155.56.",2022 Annual Town Meeting. Warrant Articles. Article 10 Lease Purchase,medium
select_board_2022-03-30_seq-007,2022-03-30,select_board,staffing_fte_bargaining,,warrant_article,routine,Support Article 18 Collective Bargaining (Police).,Approved 5-0.,Motion made and seconded to support Article 18 Collective Bargaining (Police).,2022 Annual Town Meeting. Warrant Articles. Article 18 Police CBA,high
select_board_2022-03-30_seq-008,2022-03-30,select_board,staffing_fte_bargaining,,warrant_article,routine,Support Article 19 Collective Bargaining (IUE/CWA – Local 1776).,Approved 5-0.,Motion made and seconded to support Article 19 Collective Bargaining (IUE/CWA – Local 1776).,2022 Annual Town Meeting. Warrant Articles. Article 19 IUE/CWA CBA,high
select_board_2022-03-30_seq-009,2022-03-30,select_board,staffing_fte_bargaining,,warrant_article,routine,Support Article 20 Proposed Reclassification and Pay Schedule (Administrative) at 2%.,Approved 5-0.,Motion made and seconded to support Article 20 Proposed Reclassification and Pay Schedule (Administrative) at 2%.,2022 Annual Town Meeting. Warrant Articles. Article 20 Admin Pay,high
select_board_2022-03-30_seq-010,2022-03-30,select_board,staffing_fte_bargaining,,warrant_article,routine,Support Article 21 Proposed Reclassification and Pay Schedule (Traffic Supervisors) at 2%.,Approved 5-0.,"Motion made and seconded to support Article 21 Proposed Reclassification and Pay
Schedule (Traffic Supervisors) at 2%.",2022 Annual Town Meeting. Warrant Articles. Article 21 Traffic Supervisors Pay,high
select_board_2022-03-30_seq-011,2022-03-30,select_board,staffing_fte_bargaining,,warrant_article,routine,Support Article 22 Proposed Reclassification and Pay Schedule (Seasonal and Temporary) at 2%.,Approved 5-0.,Motion made and seconded to support Article 22 Proposed Reclassification and Pay Schedule (Seasonal and Temporary) at 2%.,2022 Annual Town Meeting. Warrant Articles. Article 22 Seasonal/Temp Pay,high
select_board_2022-03-30_seq-012,2022-03-30,select_board,staffing_fte_bargaining,,warrant_article,routine,Support Article 23 Compensation Town Clerk at 2%.,Approved 5-0.,Motion made and seconded to support Article 23 Compensation Town Clerk at 2%.,2022 Annual Town Meeting. Warrant Articles. Article 23 Town Clerk Compensation,medium
select_board_2022-03-30_seq-013,2022-03-30,select_board,regionalization_shared,,warrant_article,routine,"Support Article 26 Essex North Shore Agricultural & Technical assessment in the amount of $521,970.00.",Approved 5-0.,"Motion made and seconded to support Article 26 Essex North Shore Agricultural & Technical in the amount of $521,970.00.",2022 Annual Town Meeting. Warrant Articles. Article 26 Essex Tech,medium
select_board_2022-03-30_seq-014,2022-03-30,select_board,revenue_diversification,,warrant_article,routine,"Support Article 8 Departmental Revolving Funds in the amount of $4,035,300.00.",Approved 5-0.,"Motion made and seconded to support Article 8 Departmental Revolving Funds in the amount of $4,035,300.00.",2022 Annual Town Meeting. Warrant Articles. Article 8 Revolving Funds,medium
select_board_2022-03-16_seq-001,2022-03-16,select_board,special_ed_collaborative,,vote,routine,"Reauthorized the Marblehead Public Schools Special Education revolving fund for FY2023 at $1,000,000 under MGL c.44 s.53E½.",Approved unanimously (5-0).,"Motion made and seconded to amend the previous vote of the Board taken on February 9, 2022 to reauthorize the following Revolving Fund Accounts for Fiscal Year 2023 in accordance with Mass General Laws Chapter 44, Section 53E ½ in the amounts below","Revolving Fund Accounts / Marblehead Public Schools, Special Ed",high
select_board_2022-03-16_seq-002,2022-03-16,select_board,capital_facilities_debt,,vote,discussed,Authorized the Superintendent to submit a Statement of Interest to the Massachusetts School Building Authority for Marblehead High School and Veteran's Middle School roof replacement under Priority Category #5.,Approved unanimously (5-0).,"Motion made and seconded to authorize the Superintendent to submit to the Massachusetts School Building Authority the Statement of Interest Form dated March 16, 2022 for the Marblehead High School and Veteran's Middle School located at 2 Humphrey Street, Marblehead, MA and 217 Pleasant Street, Marblehead, MA respectively which describes and explains the following deficiencies and the priority category for which an application may be submitted to the Massachusetts School Building Authority in the future.",Massachusetts School Building Authority. Statement of Interest (SOI),high
select_board_2022-02-16_seq-001,2022-02-16,select_board,staffing_fte_bargaining,,vote,routine,"Designated the Interim Town Administrator as the Board's representative to enter into collective bargaining negotiations with the Marblehead Firefighters, IAFF, Local 2043, for successor collective bargaining agreements effective July 1, 2022.",Motion passed unanimously on polled vote (5-0).,"Motion made and seconded that the Marblehead Board of Selectmen designate John McGinn, Interim Town Administrator, as the Board's representative to enter into collective bargaining negotiations pursuant to Massachusetts General Laws, Chapter 150E, with the Town's respective Union, namely the Marblehead Firefighters, IAFF, Local 2043, regarding successor collective bargaining agreements effective July 1, 2022.","Collective Bargaining - Marblehead Firefighters, IAFF, Local 2043",medium
select_board_2022-01-25_seq-001,2022-01-25,select_board,structural_deficit_reserves,,proposal,discussed,"Finance Director Stephen Poulos presented the FY2022 State of the Town, projecting the financial status for FY23 and noting that increased financial difficulties are approaching, such that difficult decisions will need to be made for FY23 and beyond to ensure continued fiscal stability.",Presentation received; Board discussed the State of the Town presentation and received public comment. No vote taken.,"The Town is facing increased financial difficulties as FY22 progresses and planning for FY23 begins. While the Town is currently in good financial health, difficult decisions will need to be made for FY23 and beyond to ensure continued fiscal stability.",FY2022 State of the Town,high
select_board_2022-01-12_seq-001,2022-01-12,select_board,governance_organizational,,warrant_article,discussed,"Placed an article on the 2022 Annual Town Meeting Warrant to change the name of the Board of Selectmen to Select Board, with Town Counsel to review for proper form.",Motion passed unanimously on a polled vote (5-0).,After discussion motion made and seconded to place an article on the 2022 Annual Town Meeting Warrant to change the name to Select Board and have Town Counsel review for proper form.,2022 Annual Town Meeting. Warrant Articles (Noonan articles),medium
select_board_2022-01-12_seq-002,2022-01-12,select_board,staffing_fte_bargaining,,warrant_article,routine,"Placed collective bargaining articles (Fire, Police, IUE/CWA Local 1776) and proposed reclassification and pay schedule articles (administrative, traffic supervisors, seasonal/temporary personnel) on the 2022 Annual Town Meeting Warrant.",Motion passed unanimously on a polled vote (5-0).,Motion made and seconded to place the following articles on the 2022 Annual Town Meeting Warrant: ... Collective Bargaining (Fire) Collective Bargaining (Police) Collective Bargaining (IUE/CWA – Local 1776) Proposed Reclassification and Pay Schedule (administrative) Proposed Pay Schedule and Reclassification (Traffic Supervisors) Proposed reclassification and pay schedule (seasonal and temporary personnel),2022 Annual Town Meeting. Warrant Articles,medium
select_board_2021-12-08_seq-001,2021-12-08,select_board,revenue_diversification,,proposal,discussed,Sustainable Marblehead requested that a portion of ARPA funds be allocated to expand the Tree Department; the Board voted on a motion to direct the ARPA working group to consider the allocation.,Motion failed on a 2-2 vote (Noonan and Singer in favor; Nye and Belf-Becker opposed). Chair noted the ARPA working group is charged with making these decisions.,Mrs. Noonan asked that the Board motion to direct the APRA working group to consider allocating funds to the Tree Department for the iprove of outdoor spaces as consistent with the Board of Selectmen's prioritizing criteria first priorotu identified as expenses for on going Covid-19 public health and saftery.,Sustainable Marblehead - ARPA Tree Department allocation,medium
select_board_2021-12-08_seq-002,2021-12-08,select_board,staffing_fte_bargaining,,proposal,discussed,Sustainable Marblehead asked the Board to allocate funds to hire a Sustainability Director for the Town in FY2022 and to adopt a resolution including the position in the Selectmen's budget submitted to the Finance Committee in January.,"No vote taken; Board members stated they would consider the request during the budget process and directed Sustainable Marblehead to work with the Town Administrator and Town Planner to develop a position description, pay range, and organizational structure, reporting back in January.",Ms. Bryant asked that the Town adopt a resolution stating the Town shall work with Sustainable Marblehead to develop this position of Sustainability Director and that this recommendation be included in the Selectmen's budget to be submitted to the Finance Committee in January for Fiscal Year 2022.,Sustainable Marblehead - Sustainability Director,medium
select_board_2021-12-08_seq-003,2021-12-08,select_board,capital_facilities_debt,,vote,routine,"Approval of Gilbane Owner Change Order #11 for the Bell School construction project in the amount of $69,574.07.",Motion passed unanimously (4-0).,"Motion to approve Gilbane Owner Change Order (OCO) #11 in the amount of sixty-nine thousand five hundred and seventy-four and 07/100 dollars ($69,574.07) and authorize the Chair to sign on behalf of the Board.",Bell School - Contract - Gilbane Change Order #11,medium
select_board_2021-12-08_seq-004,2021-12-08,select_board,capital_facilities_debt,,vote,routine,"Approval of Leftfield, LLC Amendment No. 3 (A&A Move Management) for the Bell School project in the amount of $15,000.",Motion passed unanimously (4-0).,"Motion made and seconded to approve Amendment No.3 – A&A Move Management, in the amount of fifteen thousand dollars and 00/100 ($15,000) and authorize the Chair to sign on behalf of the Board.",Bell School - Contract - Leftfield Amendment No. 3,medium
select_board_2021-12-08_seq-005,2021-12-08,select_board,revenue_diversification,,vote,discussed,Declaration that the Medical Office Building at 1 Widger Road is not needed for municipal use and is available for lease disposition for office/medical center purposes for a minimum 5-year term with two 10-year renewal options at the Town's option.,Motion passed unanimously (4-0).,"Motion that the Town declare the Medical Office Building Located at 1 Widger Road, that given the end of the lease in 2023, is not needed for municipal uses and is available for disposition subject to the following restrictions: that the building be leased for office or medical center purposes for a term no less than 5 years with 2, 10 year renewals at the option of the Town.",Lease - Medical Office Building - 1 Widger Road,medium
select_board_2021-10-04_seq-001,2021-10-04,select_board,structural_deficit_reserves,,proposal,discussed,"Joint session with the Finance Committee to review the budget process, benchmark and comparative financial data, new GFOA budget components, recommended modifications to the budget schedule (starting the budget sooner), and draft budget policies for the Town to consider.",No votes were taken; draft financial policy document reviewed in joint session.,"The Board met in session with the Finance Committee to review the budget process and benchmark and comparative financial data, the new GFOA budget components and reviewing examples of submittals, recommended modifications to budget schedule (start budget sooner) and draft budget policies for the Town to consider. No votes were taken.",Joint Session with Finance Committee - Budget Process and Draft Financial Policies,high
select_board_2021-09-08_seq-001,2021-09-08,select_board,revenue_diversification,,proposal,discussed,"Authorized Town Administrator and Town Counsel to enter into negotiations for a Community Host Agreement with Seven Leaf Sisters for an Adult-Use Marijuana Retail and Product Manufacturing business at 385 Atlantic Avenue, which would generate host community fee revenue for the Town.","Motion passed 3-2 (Noonan, Singer, Grader in favor; Nye and Belf-Becker opposed).","Motion made and seconded to authorize the Town Administrator and Town Counsel to enter into negotiations for a Community Host Agreement. Moved by Mrs. Noonan, seconded by Mrs. Singer. On a polled vote the Board voted as follows: Mrs. Noonan, in favor; Mrs. Singer, in favor; Mr. Grader, in favor; Mr. Nye, opposed; Mrs. Belf-Becker, opposed.","Community Host Agreement: Seven Leaf Sisters, 385 Atlantic Avenue",medium
select_board_2021-09-08_seq-002,2021-09-08,select_board,structural_deficit_reserves,,proposal,discussed,Reviewed and approved a prioritization plan for spending the Town's American Rescue Plan Act (ARPA) federal funds.,Motion to approve a prioritization for ARPA implementation in Marblehead passed unanimously.,"The Board reviewed a prioritization plan for ARPA Implementation in the Town. Motion to approve a prioritization for ARPA implementation in Marblehead. Moved my Mr. Nye, seconded by Mr. Grader.",American Rescue Plan Act (ARPA): Spending Criteria,medium
select_board_2021-07-23_seq-001,2021-07-23,select_board,capital_facilities_debt,,vote,routine,"Approved the sale of $10,220,000 General Obligation Municipal Purpose Loan of 2021 Bonds to Robert W. Baird & Co., Inc. at a price of $11,575,710.42 plus accrued interest, with maturities through 2041, and ratified related Official Statement, redemption terms, continuing disclosure undertaking, and post-issuance tax compliance procedures.",Approved unanimously on polled vote (5-0).,"Motion made and seconded that the sale of the $10,220,000 General Obligation Municipal Purpose Loan of 2021 Bonds of the Town dated July 29, 2021 (the ""Bonds"") to Robert W. Baird & Co., Inc. at the price of $11,575,710.42 and accrued interest is hereby approved and confirmed.",Finance: Bond Anticipation Notes (BANS),high
select_board_2021-07-23_seq-002,2021-07-23,select_board,capital_facilities_debt,,vote,routine,"Determined the maximum useful life for a $750,000 borrowing for a Pumper Truck (authorized by Town Meeting Article 32 on May 3, 2021) to be 10 years pursuant to G.L. c.44, §7(1).",Approved unanimously on polled vote (5-0).,"Motion made and seconded that the maximum useful life of the departmental equipment listed below to be financed with the proceeds of the $750,000 borrowing authorized by the vote of the Town passed May 3, 2021 (Article 32) is hereby determined pursuant to G.L. c.44, §7(1) to be as follows: Purpose Pumper Truck $750,000 10 Years.",Finance: Bond Anticipation Notes (BANS),high
select_board_2021-05-17_seq-001,2021-05-17,select_board,override_prop25,,vote,discussed,"Rescinded the May 7, 2021 vote calling a Special Election for debt exclusion questions and voted to add the debt exclusion questions to the Annual Town Election ballot on June 22, 2021.","Approved unanimously on polled vote (Grader, Nye, Belf-Becker all in favor).","Motion made and seconded that the Board of Selectmen rescind the vote of May 7, 2021, calling a Special Election for the purpose of approval of debt exclusions under Proposition 2 ½ and that in its stead the following questions be added to the Annual Town Election ballot to be held on June 22, 2021.",Elections,high
select_board_2021-05-17_seq-002,2021-05-17,select_board,capital_facilities_debt,,vote,discussed,"Voted by two-thirds to place on the June 22, 2021 Annual Town Election ballot Question 1, a Proposition 2½ debt exclusion for a bond to purchase and equip a new pumper truck for the Fire Department.",Approved unanimously on polled vote; question placed on ballot.,"Shall the Town of Marblehead be allowed to exempt from the provisions of proposition two and one-half, so-called, the amounts required to pay for the bond issued in order to pay costs of purchasing and equipping a new pumper truck for the Fire Department, and for the payment of all other costs incidental and related thereto?",Elections: Question 1 – Fire Department Pumper Truck Debt Exclusion,high
select_board_2021-05-17_seq-003,2021-05-17,select_board,capital_facilities_debt,,vote,discussed,"Voted by two-thirds to place on the June 22, 2021 Annual Town Election ballot Question 2, a Proposition 2½ debt exclusion for a bond to renovate, remodel, reconstruct, equip, and replace infrastructure at Abbot Public Library.",Approved unanimously on polled vote; question placed on ballot.,"Shall the Town of Marblehead be allowed to exempt from the provisions of proposition two and one-half, so-called, the amounts required to pay for the bond issued in order to pay costs of renovating, remodeling, reconstructing, originally equipping and replacing infrastructure at the existing Town building known and identified at Abbot Public Library, including the payment of all costs incidental and related thereto?",Elections: Question 2 – Abbot Public Library Debt Exclusion,high
select_board_2021-05-07_seq-001,2021-05-07,select_board,capital_facilities_debt,,warrant_article,discussed,"Called a Special Town Meeting and Special Election for June 22, 2021 to place a Proposition 2½ debt exclusion question (Question 1) before voters to fund a bond for purchasing and equipping a new pumper truck for the Fire Department.","Approved unanimously by the Board; warrant opened, question inserted, and warrant closed for the June 22, 2021 Special Election.","Shall the Town of Marblehead be allowed to exempt from the provisions of proposition two and one-half, so-called, the amounts required to pay for the bond issued in order to pay costs of purchasing and equipping a new pumper truck for the Fire Department, and for the payment of all other costs incidental and related thereto?",Elections / Special Election Debt Exclusion Question 1 (Fire pumper truck),high
select_board_2021-05-07_seq-002,2021-05-07,select_board,capital_facilities_debt,,warrant_article,discussed,"Called a Special Town Meeting and Special Election for June 22, 2021 to place a Proposition 2½ debt exclusion question (Question 2) before voters to fund a bond for renovating, remodeling, reconstructing, originally equipping and replacing infrastructure at Abbot Public Library.","Approved unanimously by the Board; warrant opened, question inserted, and warrant closed for the June 22, 2021 Special Election.","Shall the Town of Marblehead be allowed to exempt from the provisions of proposition two and one-half, so-called, the amounts required to pay for the bond issued in order to pay costs of renovating, remodeling, reconstructing, originally equipping and replacing infrastructure at the existing Town building known and identified at Abbot Public Library, including the payment of all costs incidental and related thereto?",Elections / Special Election Debt Exclusion Question 2 (Abbot Public Library),high
select_board_2021-05-03_seq-001,2021-05-03,select_board,staffing_fte_bargaining,,vote,routine,"Approval of Article 20 Collective Bargaining (Fire) and the Memorandum of Understanding dated May 3, 2021 between the Town and the International Association of Firefighters Local 2043.",Motion approved unanimously.,"Motion made and seconded to approve Article 20 Collective Bargaining (Fire) and the Memorandum of Understanding (MOU), dated May 3, 2021, between the Town of Marblehead and the International Association of Firefighters, AFL-CIO, CLC and Local 2043 as prepared by Assistant Town Counsel Marc J. Miller. All in favor.",Warrant Articles: Article 20 Collective Bargaining (Fire),high
select_board_2021-05-03_seq-002,2021-05-03,select_board,staffing_fte_bargaining,,vote,routine,Indefinite postponement of Article 21 Collective Bargaining (Police) and Article 22 Collective Bargaining (IUE/CWA – Local 1776).,Motion to indefinitely postpone approved unanimously.,"Motion made and seconded to indefinitely postpone Article 21, Collective Bargaining (Police) and Article 22, Collective Bargaining (IUE/CWA – Local 1776). All in favor.",Warrant Articles: Articles 21 & 22 Collective Bargaining,high
select_board_2021-05-03_seq-003,2021-05-03,select_board,staffing_fte_bargaining,,vote,routine,"Approval of Article 25 Proposed Reclassification and Pay Schedule (Administrative), Article 28 Compensation – Town Officers, and Article 29 Ratification of Salary Bylaw.",Motion approved unanimously.,"Motion made and seconded to approve Article 25 Proposed Reclassification and Pay Schedule (Administrative) as presented, Article 28 Compensation – Town Officers as presented and Article 29 Ratification of Salary Bylaw as presented. All in favor.","Warrant Articles: Articles 25, 28, 29 Compensation/Salary",high
select_board_2021-04-22_seq-001,2021-04-22,select_board,structural_deficit_reserves,,vote,discussed,"Awarded a contract to Clifton Larson Associates of Lexington, MA for an operational audit in an amount not to exceed $15,000.",Approved unanimously on a polled vote.,"Motion made and seconded to award a contract for an operational audit to Clifton Larson Associates of Lexington, MA in an amount not to exceed fifteen thousand dollars ($15,000.00) and authorize the Chair to sign on behalf of the Board.",Contract: Operational Audit,high
select_board_2021-04-22_seq-002,2021-04-22,select_board,structural_deficit_reserves,,vote,discussed,"Awarded a professional services contract to Clifton Larson Associates for cash, general ledger, and bank reconciliations in an amount not to exceed $25,000.",Approved unanimously on a polled vote.,"Motion made and seconded to award a contract for Professional services with Cash, general ledger and bank reconciliations to Clifton Larson Associates of Lexington, MA in an amount not to exceed twenty-five thousand dollars ($25,000.00) and authorize the Chair to sign on behalf of the Board.",Contract: Professional Services,high
select_board_2021-04-14_seq-001,2021-04-14,select_board,capital_facilities_debt,,vote,routine,"Board approved sale of a $3,059,400 Water Bond to the Massachusetts Water Resources Authority, payable without interest over ten annual installments of $305,940 from 2022 through 2031.",Approved unanimously on polled vote.,"Motion made and seconded that the sale of the $3,059,400 Water Bond of the Town dated May 3, 2021, to Massachusetts Water Resources Authority (the ""Authority"") is hereby approved and the Town Treasurer or other appropriate Town official is authorized to execute on behalf of the Town a Loan Agreement and a Financial Assistance Agreement with the Authority with respect to the bond.",Massachusetts Water Resource Authority / Water Bond,high
select_board_2021-04-14_seq-002,2021-04-14,select_board,structural_deficit_reserves,,warrant_article,routine,"Board supported Article 17 to use available funds to reduce the tax rate, including $8,950,000 in free cash and $330,000 from electric light payment.",Supported unanimously as part of bundled warrant article motion.,"Article 17. Available funds to Reduce the Tax Rate in the amount of $8,950,000 in free cash and $330,000 from electric light payment",2021 Annual Town Meeting / Warrant Articles,high
select_board_2021-04-14_seq-003,2021-04-14,select_board,capital_facilities_debt,,warrant_article,routine,"Board supported capital-related warrant articles including Article 8 Purchase of Equipment ($239,430.42), Article 9 Lease Purchase ($191,596), Article 10 Capital Improvements for Public Buildings ($857,189 from Gerry School Special Revenue), Article 15 Storm Drainage Construction ($314,000), and Article 32 Pumper Truck ($750,000).",Supported unanimously as part of bundled warrant article motion.,"Article 8. Purchase of Equipment of Several Departments in the amount of $239,430.42 Article 9. Lease Purchase in the amount of $191,596 Article 10. Capital Improvements for Public Buildings in the amount of $857,189.00 to be appropriated from the Gerry School Special Revenue Account",2021 Annual Town Meeting / Warrant Articles,high
select_board_2021-04-14_seq-004,2021-04-14,select_board,revenue_diversification,,warrant_article,routine,"Board supported Article 7 authorizing Departmental Revolving Funds in the amount of $3,090,300 and amending Chapter 63, section 63-9 of the Town General Bylaw by adding a new section.",Supported unanimously as part of bundled warrant article motion.,"Article 7. Departmental Revolving Funds in the amount of $3,090,300.00 and to amend Chapter 63, section 63-9, of the Town of Marblehead General Bylaw by adding a new section 93-9 (E) (12)",2021 Annual Town Meeting / Warrant Articles,medium
select_board_2021-04-14_seq-005,2021-04-14,select_board,capital_facilities_debt,,vote,routine,"Board approved Owner Change Order #3 on the Gilbane Gerry School construction contract in the amount of $274,791.",Approved unanimously on polled vote.,"Motion made and seconded to approve Owner Change Order (OCO) #3, as submitted, in the amount of $274,791.00, and authorize the Chair to sign on behalf of the Board.","Contract / Gilbane Owner Change Order, Gerry School",high
select_board_2021-04-07_seq-001,2021-04-07,select_board,capital_facilities_debt,,vote,routine,"Approved Finance Department FY2022 appropriation including $5,375,000 for Maturing Debt and $4,064,700.77 for Interest.",Approved 3-0.,"Motion made and seconded to approve $662,605.00 for Salaries, $323,655.00 for Expense, for a total operating budget of $986,260.00; $5,375,000.00 for Maturing Debt, $4,064,700.77 for Interest, $730,000.00 for Medicare, $14,475,406.43 for Group Insurance, $63,468.00 for Non-Contributory Retirement for a total budget of $25,694,835.80.",Budgets: Finance Department / Debt Service,high
select_board_2021-04-07_seq-002,2021-04-07,select_board,healthcare_gic,,vote,routine,"Approved Finance Department FY2022 appropriation including $14,475,406.43 for Group Insurance and $730,000 for Medicare.",Approved 3-0.,"Motion made and seconded to approve $662,605.00 for Salaries, $323,655.00 for Expense, for a total operating budget of $986,260.00; $5,375,000.00 for Maturing Debt, $4,064,700.77 for Interest, $730,000.00 for Medicare, $14,475,406.43 for Group Insurance, $63,468.00 for Non-Contributory Retirement for a total budget of $25,694,835.80.",Budgets: Finance Department / Group Insurance,high
select_board_2021-04-07_seq-003,2021-04-07,select_board,pensions_opeb,,vote,routine,"Approved Finance Department FY2022 appropriation including $63,468 for Non-Contributory Retirement.",Approved 3-0.,"Motion made and seconded to approve $662,605.00 for Salaries, $323,655.00 for Expense, for a total operating budget of $986,260.00; $5,375,000.00 for Maturing Debt, $4,064,700.77 for Interest, $730,000.00 for Medicare, $14,475,406.43 for Group Insurance, $63,468.00 for Non-Contributory Retirement for a total budget of $25,694,835.80.",Budgets: Finance Department / Non-Contributory Retirement,high
select_board_2021-04-07_seq-004,2021-04-07,select_board,pensions_opeb,,vote,routine,"Approved $250,000 appropriation to the Other Post-Employment Benefits fund for FY2022.",Approved 3-0.,"Motion made and seconded to approve $250,000.00 for Other Post-Employment Benefits and $250,000 for Stabilization Fund for a total operating budget of $500,000.00.",Budgets: Other Post-Employment Benefits/Stabilization,high
