meeting_year,article_number,title,source_doc,source_location,extraction_method
2022,25,Financial Assistance for Conservation,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,26,Essex North Shore Agricultural and Technical School District,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,27,Transfer Funds to the Special Education Stabilization Account,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,28,Release Funds from Transportation Network,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,29,Available Funds Appropriate to Reduce Tax Rate,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,30,Expenses of Several Departments,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,31,Summer Break from gas powered leaf blowers,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,32,Land Acknowledgement,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,33,Allocation of Land for Off-Road Bike Park,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,34,Mooring Fees in Marblehead Waters,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,35,Adoption of Diversity Statement,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,36,Procedures of Operation and Organizational Structures Instructions,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,37,Work Associated with New Transfer Station Building,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,38,Work Associated with Existing Transfer Station Building,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,39,Order of Candidates Names on Ballot,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,40,Change name of Board of Selectmen to Select Board in General Bylaws,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,41,Change name to of Board of Selectmen to Select Board in Zoning Bylaws,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,42,Replace pronouns and nomenclature throughout our bylaws to gender-neutral,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,43,Replace pronouns and nomenclature in Zoning Bylaws to gender-neutral terms,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,44,Open Meeting Law Compliance,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,45,Utility Easement Lucretia and Joseph Brown School,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,46,Supplemental Appropriation for the Schools,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,47,Supplemental Expenses of Several Departments,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2022,48,School Capital Needs,2022_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,1,Articles in Numerical Order,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,2,Reports of Town Officers and Committees,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,3,Assume Liability,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,4,Accept Trust Property,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,5,Lease Town Property,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,6,Unpaid Accounts,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,7,Contracts in Excess of Three Years,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,8,Departmental Revolving Funds,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,9,Purchase of Equipment of Several Departments,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,10,Lease Purchase,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,11,Capital Improvements for Public Buildings,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,12,School Capital Needs,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,13,Walls and Fences,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,14,Storm Drainage Construction,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,15,Water Department Construction,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,16,Sewer Department Construction,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,17,"MWRA Local Water System Assistance Program, Interest Free Loan, Water Distribution Improvements",2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,18,Water and Sewer Commission Claims,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,19,Proposed Reclassification and Pay Schedule (Administrative),2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,20,Proposed Pay Schedule and Reclassification (Traffic Supervisors),2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,21,Proposed Reclassification and Pay Schedule (Seasonal and Temporary Personnel),2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,22,Compensation - Town Officers,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,23,Ratification of Salary Bylaw,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,24,Amend General Bylaws for New Human Resources Department,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,25,Financial Assistance for Conservation,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,26,Essex North Shore Agricultural and Technical School District,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,27,Transfer Funds to the Special Education Stabilization Account,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,28,Release Funds from Transportation Network To see if the Town will vote to appropriate or transfer from the,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,29,Available Funds Appropriate to Reduce Tax Rate,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,30,Expenses of Several Departments,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,31,Supplemental Appropriation and Expenses of Several Departments,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,32,Supplemental Appropriation and Expenses for the Schools,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,33,Retirement Board Increase Base Amount,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,34,"Administrative Benefit Amendment 18,625.00 18,625.00",2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,35,Amend General Bylaws: Physical Examinations,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,36,Amend General Bylaws: Allow the Use of Electronic Counting Devices,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,37,Accept G.L. c. 41 §110A Saturday Closure/Legal Holiday Town Clerk’s Office,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,38,Amend the Date of the Annual Town Election of Town Officers To see if the town will vote to Amend Town,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,39,Zoning Amendment - Accessory Dwelling Units,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,40,Franklin Street Fire Station Renovations,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,41,Department of Public Works,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,42,Public Shade Trees; Protection,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,43,Adopt G.L. c. 59 sec. 5 Clause twenty second H – local Veterans benefits,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,44,Change Select Board Terms to 3 Years,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,45,Article 45 Enhancements to the Comprehensive Annual Financial Review,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,46,100% carbon-free energy in Old and Historic Districts,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,47,Amend General Bylaws – Use of Gas-Powered Leaf Blowers,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,48,"Amend Chapter 119, Peace and Good Order Articles VII, Gas Power Leaf Blowers, Enforcement",2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,49,Creation of a Traffic Advisory Committee,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,50,Amend Town Bylaws Relative to New Subdivisions,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,51,Amend Town Bylaws Relative to Require Certain Boards/Committees to Record and Post Meeting Minutes,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,52,Amend Town Bylaws Relative to 940 CMR 29.10 of Open Meeting Law,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,53,"Acceptance of MGL Chapter 53 Section 9A, Nomination Papers",2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2023,54,Standard Operating Procedures Manual,2023_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,1,Articles in Numerical Order,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,2,Reports of Town Officers and Committees,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,3,Consent Articles,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,4,Unpaid Accounts,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,5,Departmental Revolving Funds,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,6,Purchase of Equipment of Several Departments,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,7,Lease Purchase,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,8,Capital Improvements for Public Buildings,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,9,Walls and Fences,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,10,Storm Sewer Construction,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,11,"Consent Articles, Water and Sewer",2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,12,Proposed Reclassification and Pay Schedule (Administrative),2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,13,Proposed Pay Schedule and Reclassification (Traffic Supervisors),2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,14,Proposed Reclassification and Pay Schedule (Seasonal and Temporary Personnel),2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,15,Compensation - Town Officers,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,16,Ratification of Salary Bylaw,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,17,Essex North Shore Agricultural and Technical School District,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,18,Transfer Funds to the Special Education Stabilization Account,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,19,Available Funds Appropriate to Reduce Tax Rate,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,20,Collective Bargaining (Police),2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,21,Collective Bargaining (IUE/CWA- Local 1776),2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,22,CPI Increase For Qualified Seniors,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,23,Senior Tax Work Off Program,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,24,Adopt Local Meals Tax,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,25,Adopt Local Room Tax,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,26,General Fund Operating Budget departmental salaries,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,27,Supplemental Appropriation and Expenses of Several Departments,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,28,Supplemental Appropriation and Expenses for the Schools,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,29,Debt Exclusion Premium,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,30,Capital Transfers,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,31,Amend Bylaw to Increase Building Construction Permit Fees,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,32,Amend Bylaw to Increase Electrical Installations Permit Fees,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,33,To Amend Town Bylaw 13-10 Licensing and Registration of Dogs,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,34,Community Development and Planning Department,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,35,Assessing Department Under Chief Financial Officer,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,36,To see if the Town will vote to amend the Zoning Bylaw and map to adopt an 3A MULTI FAMILY OVERLAY DISTRICT,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,37,Board of Health – Increase membership/Home Rule Petition,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,38,Approve MGL 41b Change Assessors from Elected to Appointed Positions,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,39,"Amend Bylaw, Capital Planning Committee, Membership",2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,40,"Amend Article, Ballot order and time of Random drawing of names for the Annual",2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,41,Easement Fishing Point Lane / 297 Ocean Ave,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,42,Amend Transfer Station Fees,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,43,Amend General Bylaws Chapter 75-1 Leaf Blowers,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,44,"Amend General Bylaws Chapter 75-2, Leaf Blowers",2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,45,Amend General Bylaws Chapter 75-3 Leaf Blowers,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,46,Amend Bylaws §174-6(C) and §174-11 and §174-13,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,47,"Amend Bylaws, Traffic Safety Advisory Committee",2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,48,Improve Road Safety Indicators,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,49,"Bylaw Select Board Terms, rescind",2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,50,"Amend Bylaw, Recall provision for Elected Official(s)",2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,51,"Amend General Bylaws, State Street Restrooms",2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,52,Appropriate funds for Website Design and Development,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,53,"Amend Zoning Bylaw, shed size",2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2025,200,-43,2025_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,1,Articles in Numerical Order,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,2,Reports of Town Officers and Committees,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,3,Consent Articles,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,4,Unpaid Accounts,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,5,Departmental Revolving Funds,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,6,Purchase of Equipment of Several Departments,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,7,Lease Purchase,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,8,Capital Improvements for Public Buildings,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,9,Walls and Fences,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,10,Stormwater Construction,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,11,"Consent Articles, Water and Sewer",2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,12,Proposed Reclassification and Pay Schedule (Administrative),2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,13,Proposed Pay Schedule and Reclassification (Traffic Supervisors),2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,14,Proposed Reclassification and Pay Schedule (Seasonal and Temporary Personnel),2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,15,Compensation - Town Officers,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,16,Ratification of Salary Bylaw,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,17,Essex North Shore Agricultural and Technical School District,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,18,Available Funds Appropriate to Reduce Tax Rate,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,19,Collective Bargaining (Police),2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,20,Collective Bargaining (IUE/CWA- Local 1776),2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,21,Collective Bargaining (Fire),2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,22,Expenses of Several Departments,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,23,Amend Zoning Bylaw - 3A Multi-Family Overlay District,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,24,Amend Zoning Bylaw - Accessory Dwelling Units,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
2026,25,Amend Zoning Bylaw - Floodplain District,2026_FinCom_Report.pdf,github.com/agbaber/marblehead release source-archive-v1,"pdftotext -layout, first ARTICLE-header occurrence per article number"
